Datum,Titel,Organizer,Ort,Beschreibung,Publish
2026-01-15,Kaffeenachtmittag Bösingen,Olga-Stritt-Stiftung / Haus Josefine,,,False
2026-01-31,Altpapiersammlung Bösingen,,,,True
2026-02-12,Kaffeenachtmittag Bösingen,Olga-Stritt-Stiftung / Haus Josefine,,,False
2026-02-15,Kinderumzug Bösingen,Speckmockelzunft Bösingen e. V.,,,True
2026-02-16,Rosenmontagsumzug Bösingen,Speckmockelzunft Bösingen e. V.,,,True
2026-02-16,Montag,Kirche Bösingen,,,False
2026-02-16,Sonntag,Kirche Bösingen,,,False
2026-02-16,Montag,Kirche Bösingen,Kirchengemeinde Bösingen,,False
2026-02-16,Obst- und Gartenbauverein Bösingen,Olga Stritt Stiftung,,,False
2026-02-16,Flohmarkt-Team,Olga Stritt Stiftung,Sozialgemeinschaft Bösingen,,True
2026-02-16,Sozialgemeinschaft Bösingen,Olga Stritt Stiftung,Sozialgemeinschaft Bösingen,,False
2026-02-16,Sozialgemeinschaft Bösingen,Olga Stritt Stiftung,,,False
2026-02-16,DFVB,Gemeinde Bösingen,,,False
2026-02-16,DFVB,Gemeinde Bösingen,,,False
2026-02-16,Musikverein Harmonie Bösingen,Gemeinde Bösingen,Obst- und Gartenbauverein Bösingen,,True
2026-02-16,Obst- und Gartenbauverein Bösingen,Gemeinde Bösingen,,,False
2026-02-16,Sportschützenverein Bösingen,Gemeinde Bösingen,,,False
2026-02-16,Angelverein Bösingen,NaturAktiv Bösingen e.V.,,,False
2026-02-16,Speckmockelzunft Bösingen,NaturAktiv Bösingen e.V.,,,False
2026-02-16,Tag der Ewigen Anbetung,NaturAktiv Bösingen e.V.,,,False
2026-02-16,INFO-Veranstaltung LSP/ ELR,NaturAktiv Bösingen e.V.,,,False
2026-02-16,INFO-Veranstaltung LSP/ ELR,NaturAktiv Bösingen e.V.,,,False
2026-02-16,Waldputzete,NaturAktiv Bösingen e.V.,,,False
2026-02-16,Altmaterial+Papiersammlung,NaturAktiv Bösingen e.V.,,,False
2026-02-16,Tag der Ewigen Anbetung,NaturAktiv Bösingen e.V.,,,False
2026-02-16,Demenztheater mit Workshops,NaturAktiv Bösingen e.V.,,,True
2026-02-16,Second-Hand-Verkauf,NaturAktiv Bösingen e.V.,,,False
2026-02-16,Hauptversammlung mit Wahlen,NaturAktiv Bösingen e.V.,,,False
2026-02-16,Generalversammlung,NaturAktiv Bösingen e.V.,,,False
2026-02-16,Kaffeenachmittag,NaturAktiv Bösingen e.V.,,,False
2026-02-16,Generalversammlung,NaturAktiv Bösingen e.V.,,,False
2026-02-16,Generalversammlung,NaturAktiv Bösingen e.V.,,,False
2026-02-16,"Flohmarkt ""Rund ums Kind""",NaturAktiv Bösingen e.V.,,,True
2026-02-16,Mitgliederversammlung mit Wahlen,NaturAktiv Bösingen e.V.,,,False
2026-02-16,Kranken und Seniorengottesdienst,NaturAktiv Bösingen e.V.,,,False
2026-02-16,Generalversammlung,NaturAktiv Bösingen e.V.,,,False
2026-02-16,Landtagswahl 2026,NaturAktiv Bösingen e.V.,,,False
2026-02-16,Fallschirmpacken,NaturAktiv Bösingen e.V.,,,False
2026-02-16,Hauptversammlung,NaturAktiv Bösingen e.V.,,,False
2026-02-16,Generalversammlung 20.00,NaturAktiv Bösingen e.V.,,,False
2026-02-16,Generalversammlung 19.30,NaturAktiv Bösingen e.V.,,,False
2026-02-16,Mitgliederversammlung,NaturAktiv Bösingen e.V.,,,False
2026-02-16,Vortrag mit Gärtnermeister Norbert Längle,NaturAktiv Bösingen e.V.,,,True
2026-02-16,Generalverammlung,NaturAktiv Bösingen e.V.,,,False
2026-02-16,März 2026,NaturAktiv Bösingen e.V.,,,False
2026-02-16,Skiausfahrt,NaturAktiv Bösingen e.V.,,,True
2026-02-16,Generalversammlung,NaturAktiv Bösingen e.V.,,,False
2026-02-16,Jahreshauptversammlung,NaturAktiv Bösingen e.V.,,,False
2026-02-16,Wanderung zum Funkenfeuer nach Villingendorf,NaturAktiv Bösingen e.V.,,,False
2026-02-16,Generalversammlung,NaturAktiv Bösingen e.V.,,,False
2026-02-16,Fischessen,NaturAktiv Bösingen e.V.,,,False
2026-02-16,Fasnachtsdienstagsumzug,NaturAktiv Bösingen e.V.,,,True
2026-02-16,Rosenmontagsumzug,NaturAktiv Bösingen e.V.,,,True
